problema;modelo;ub_cmax;fl_ub_cmax;num_maquina;num_jobs;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID009_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1242,9001967140848;1243,0;966;False;8,029226541848612e-05;26987005;175151;9900;integer optimal, tolerance;521,4533951282501;True
ID009_M015_J015;manne;0;s/ ub;15;15;3375;1801;;935,0;1134;False;;1133;0;9900;optimal;0,01885509490966797;False
ID009_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;;935,0;1134;False;;1133;0;9900;optimal;0,2690250873565674;False
ID010_M015_J015;manne;0;s/ ub;15;15;3375;1801;1181,0000000000011;1181,0000000000011;1043;False;0,0;1717273;36427;9900;integer optimal solution;59,9731240272522;True
ID010_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1181,0;1181,0;1035;False;0,0;997827;26911;9900;integer optimal solution;33,2226140499115;True
ID010_M015_J015;manne;0;s/ ub;15;15;3375;1801;;963,0;967;False;;966;0;9900;optimal;0,015447139739990234;False
ID010_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;;963,0;967;False;;966;0;9900;optimal;0,3154008388519287;False
ID011_M015_J015;manne;0;s/ ub;15;15;3375;1801;1197,3267545136734;1300,0000000000036;950;True;0,07897941960486307;245403807;1102110;9900;time limit exceeded;7200,009085893631;True
ID011_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1197,4259705488635;1293,0;979;True;0,07391649609522749;296522300;1495433;9900;time limit exceeded;7200,256355047226;True
ID011_M015_J015;manne;0;s/ ub;15;15;3375;1801;;982,0;1085;False;;1084;0;9900;optimal;0,022421836853027344;False
ID011_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;;982,0;1085;False;;1084;0;9900;optimal;0,26561498641967773;False
ID012_M015_J015;manne;0;s/ ub;15;15;3375;1801;1205,8999899537012;1205,9999998751048;1053;False;8,292696634657902e-05;287856190;1308855;9900;integer optimal, tolerance;5587,506551980972;True
ID012_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1205,887429644394;1206,0;1054;False;9,334192007135801e-05;277242708;1422855;9900;integer optimal, tolerance;5227,775555849075;True
ID012_M015_J015;manne;0;s/ ub;15;15;3375;1801;;896,0;1108;False;;1107;0;9900;optimal;0,018334150314331055;False
ID012_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;;896,0;1108;False;;1107;0;9900;optimal;0,26357316970825195;False
ID013_M015_J020;manne;0;s/ ub;15;20;6000;3151;1154,9999999999998;1388,0000000000002;1723;True;0,16786743515848965;157396009;1200723;17700;time limit exceeded;7200,02231502533;True
ID013_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1147,3796736295924;1397,9999999919996;1698;True;0,17927061971661198;126028295;524970;17700;time limit exceeded;7200,675708055496;True
ID013_M015_J020;manne;0;s/ ub;15;20;6000;3151;;949,0;1953;False;;1952;0;17700;optimal;0,04340696334838867;False
ID013_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;949,0;1953;False;;1952;0;17700;optimal;0,7254760265350342;False
ID014_M015_J020;manne;0;s/ ub;15;20;6000;3151;1105,9999999999998;1417,9999999990002;1664;True;0,22002820874414558;120087608;461129;17700;time limit exceeded;7200,0125160217285;True
ID014_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1106,3297643839378;1408,0000000000002;1698;True;0,21425442870457453;127469738;483169;17700;time limit exceeded;7200,5790910720825;True
ID014_M015_J020;manne;0;s/ ub;15;20;6000;3151;;1012,0;1913;False;;1912;0;17700;optimal;0,056047916412353516;False
ID014_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;1012,0;1913;False;;1912;0;17700;optimal;0,7181520462036133;False
ID015_M015_J020;manne;0;s/ ub;15;20;6000;3151;1151,0;1406,000000000001;1594;True;0,18136557610240583;113296979;466051;17700;time limit exceeded;7200,013180017471;True
ID015_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1170,8796992481198;1352,0;1622;True;0,13396471949102576;184464922;2026559;17700;time limit exceeded;7201,543020963669;True
ID015_M015_J020;manne;0;s/ ub;15;20;6000;3151;;919,0;1906;False;;1905;0;17700;optimal;0,04182696342468262;False
ID015_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;919,0;1906;False;;1905;0;17700;optimal;0,6158499717712402;False
ID016_M015_J020;manne;0;s/ ub;15;20;6000;3151;1062,6857142857125;1377,999999999;1727;True;0,22882023636683124;194146461;1951879;17700;time limit exceeded;7200,90677690506;True
ID016_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1055,928838802365;1338,0;1771;True;0,210815516590145;196592730;1750794;17700;time limit exceeded;7201,450083971024;True
ID016_M015_J020;manne;0;s/ ub;15;20;6000;3151;;990,0;1976;False;;1975;0;17700;optimal;0,05650496482849121;False
ID016_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;990,0;1976;False;;1975;0;17700;optimal;0,7158699035644531;False
ID017_M015_J020;manne;0;s/ ub;15;20;6000;3151;1083,0374138178422;1409,9999999989998;1631;True;0,23188835899387683;134131009;655326;17700;time limit exceeded;7200,01358294487;True
ID017_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1081,1478022453714;1425,0000000000002;1696;True;0,24129978789796816;141823308;782109;17700;time limit exceeded;7200,590994119644;True
ID017_M015_J020;manne;0;s/ ub;15;20;6000;3151;;880,0;1824;False;;1823;0;17700;optimal;0,07086586952209473;False
ID017_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;880,0;1824;False;;1823;0;17700;optimal;0,6218278408050537;False
ID018_M015_J020;manne;0;s/ ub;15;20;6000;3151;1089,0;1477,9999999999998;1682;True;0,26319350473611197;198660735;1637229;17700;time limit exceeded;7201,098522901535;True
ID018_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1092,570287540062;1490,0;1648;True;0,26673135064423575;117808894;438798;17700;time limit exceeded;7200,586228132248;True
ID018_M015_J020;manne;0;s/ ub;15;20;6000;3151;;932,0;1938;False;;1937;0;17700;optimal;0,0561528205871582;False
ID018_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;932,0;1938;False;;1937;0;17700;optimal;0,7280011177062988;False
ID019_M015_J020;manne;0;s/ ub;15;20;6000;3151;1140,287037037037;1468,0;1710;True;0,22323771319001412;116388215;487661;17700;time limit exceeded;7200,01022195816;True
ID019_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1159,9352168535997;1468,999999998;1709;True;0,21039127511558883;136886707;639823;17700;time limit exceeded;7200,586740016937;True
ID019_M015_J020;manne;0;s/ ub;15;20;6000;3151;;979,0;1841;False;;1840;0;17700;optimal;0,049612998962402344;False
ID019_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;979,0;1841;False;;1840;0;17700;optimal;0,6150238513946533;False
ID020_M015_J020;manne;0;s/ ub;15;20;6000;3151;1095,292682923053;1520,0;1780;True;0,2794127086032362;127468647;560349;17700;time limit exceeded;7200,008402109146;True
ID020_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1089,0;1499,9999999989982;1725;True;0,27399999999949687;161278028;1400402;17700;time limit exceeded;7200,585386991501;True
ID020_M015_J020;manne;0;s/ ub;15;20;6000;3151;;900,0;2003;False;;2002;0;17700;optimal;0,062216997146606445;False
ID020_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;900,0;2003;False;;2002;0;17700;optimal;0,7220189571380615;False
ID021_M015_J020;manne;0;s/ ub;15;20;6000;3151;1053,3009732662015;1405,0000000000002;1762;True;0,2503195919813336;212678988;2437927;17700;time limit exceeded;7202,101407051086;True
ID021_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;1074,9614325068867;1362,999999999;1692;True;0,21132690204864527;147858375;907817;17700;time limit exceeded;7200,585358142853;True
ID021_M015_J020;manne;0;s/ ub;15;20;6000;3151;;920,0;1937;False;;1936;0;17700;optimal;0,07010102272033691;False
ID021_M015_J020;minla_fav;0;s/ ub;15;20;6000;3151;;920,0;1937;False;;1936;0;17700;optimal;0,6146550178527832;False
ID022_M015_J020;manne;0;s/ ub;15;20;6000;3151;1102,5409767965916;1429,9999999999998;1626;True;0,22899232391845126;144466820;782153;17700;time limit exceeded;7200,010692834854;True
